"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
RenderParagraph,package:flutter/src/rendering/paragraph.dart,1145,458000,458000,0,0,0,0,0,1145,458000,458000,0
PerformanceOverlayOption,package:flutter/src/rendering/performance_overlay.dart,5,160,160,0,0,0,0,0,5,160,160,0
PlatformViewHitTestBehavior,package:flutter/src/rendering/platform_view.dart,4,128,128,0,0,0,0,0,4,128,128,0
_PlatformViewState,package:flutter/src/rendering/platform_view.dart,4,128,128,0,0,0,0,0,4,128,128,0
HitTestBehavior,package:flutter/src/rendering/proxy_box.dart,4,128,128,0,0,0,0,0,4,128,128,0
RenderLimitedBox,package:flutter/src/rendering/proxy_box.dart,1,272,272,0,0,0,0,0,1,272,272,0
ShapeBorderClipper,package:flutter/src/rendering/proxy_box.dart,2,96,96,0,0,0,0,0,2,96,96,0
RenderClipRect,package:flutter/src/rendering/proxy_box.dart,3,912,912,0,0,0,0,0,3,912,912,0
RenderPhysicalModel,package:flutter/src/rendering/proxy_box.dart,4,1408,1408,0,0,0,0,0,4,1408,1408,0
RenderPhysicalShape,package:flutter/src/rendering/proxy_box.dart,2,672,672,0,0,0,0,0,2,672,672,0
DecorationPosition,package:flutter/src/rendering/proxy_box.dart,3,96,96,0,0,0,0,0,3,96,96,0
RenderDecoratedBox,package:flutter/src/rendering/proxy_box.dart,3,864,864,0,0,0,0,0,3,864,864,0
RenderTransform,package:flutter/src/rendering/proxy_box.dart,4,1216,1216,0,0,0,0,0,4,1216,1216,0
RenderFittedBox,package:flutter/src/rendering/proxy_box.dart,3,960,960,0,0,0,0,0,3,960,960,0
RenderFractionalTranslation,package:flutter/src/rendering/proxy_box.dart,4,1088,1088,0,0,0,0,0,4,1088,1088,0
RenderPointerListener,package:flutter/src/rendering/proxy_box.dart,13,4368,4368,0,0,0,0,0,13,4368,4368,0
RenderMouseRegion,package:flutter/src/rendering/proxy_box.dart,6,1920,1920,0,0,0,0,0,6,1920,1920,0
RenderRepaintBoundary,package:flutter/src/rendering/proxy_box.dart,4,1088,1088,0,0,0,0,0,4,1088,1088,0
RenderIgnorePointer,package:flutter/src/rendering/proxy_box.dart,3,816,816,0,0,0,0,0,3,816,816,0
RenderOffstage,package:flutter/src/rendering/proxy_box.dart,2,544,544,0,0,0,0,0,2,544,544,0
RenderAbsorbPointer,package:flutter/src/rendering/proxy_box.dart,1,272,272,0,0,0,0,0,1,272,272,0
RenderSemanticsGestureHandler,package:flutter/src/rendering/proxy_box.dart,2,640,640,0,0,0,0,0,2,640,640,0
RenderSemanticsAnnotations,package:flutter/src/rendering/proxy_box.dart,40,13440,13440,0,0,0,0,0,40,13440,13440,0
RenderBlockSemantics,package:flutter/src/rendering/proxy_box.dart,1,272,272,0,0,0,0,0,1,272,272,0
RenderExcludeSemantics,package:flutter/src/rendering/proxy_box.dart,6,1632,1632,0,0,0,0,0,6,1632,1632,0
RenderAnnotatedRegion,package:flutter/src/rendering/proxy_box.dart,2,576,576,0,0,0,0,0,2,576,576,0
SelectionResult,package:flutter/src/rendering/selection.dart,6,192,192,0,0,0,0,0,6,192,192,0
SelectionEventType,package:flutter/src/rendering/selection.dart,8,256,256,0,0,0,0,0,8,256,256,0
TextGranularity,package:flutter/src/rendering/selection.dart,5,160,160,0,0,0,0,0,5,160,160,0
SelectionExtendDirection,package:flutter/src/rendering/selection.dart,5,160,160,0,0,0,0,0,5,160,160,0
SelectionStatus,package:flutter/src/rendering/selection.dart,4,128,128,0,0,0,0,0,4,128,128,0
TextSelectionHandleType,package:flutter/src/rendering/selection.dart,4,128,128,0,0,0,0,0,4,128,128,0
RenderingServiceExtensions,package:flutter/src/rendering/service_extensions.dart,14,448,448,0,0,0,0,0,14,448,448,0
RenderPadding,package:flutter/src/rendering/shifted_box.dart,13,3744,3744,0,0,0,0,0,13,3744,3744,0
RenderPositionedBox,package:flutter/src/rendering/shifted_box.dart,1148,348992,348992,0,0,0,0,0,1148,348992,348992,0
RenderCustomSingleChildLayoutBox,package:flutter/src/rendering/shifted_box.dart,2,544,544,0,0,0,0,0,2,544,544,0
GrowthDirection,package:flutter/src/rendering/sliver.dart,3,96,96,0,0,0,0,0,3,96,96,0
SliverGeometry,package:flutter/src/rendering/sliver.dart,1,96,96,0,0,0,0,0,1,96,96,0
StackParentData,package:flutter/src/rendering/stack.dart,1147,110112,110112,0,0,0,0,0,1147,110112,110112,0
StackFit,package:flutter/src/rendering/stack.dart,4,128,128,0,0,0,0,0,4,128,128,0
RenderStack,package:flutter/src/rendering/stack.dart,5,1680,1680,0,0,0,0,0,5,1680,1680,0
RenderIndexedStack,package:flutter/src/rendering/stack.dart,1,336,336,0,0,0,0,0,1,336,336,0
TableCellVerticalAlignment,package:flutter/src/rendering/table.dart,6,192,192,0,0,0,0,0,6,192,192,0
ViewConfiguration,package:flutter/src/rendering/view.dart,1,32,32,0,0,0,0,0,1,32,32,0
RenderView,package:flutter/src/rendering/view.dart,1,256,256,0,0,0,0,0,1,256,256,0
CacheExtentStyle,package:flutter/src/rendering/viewport.dart,3,96,96,0,0,0,0,0,3,96,96,0
ScrollDirection,package:flutter/src/rendering/viewport_offset.dart,4,128,128,0,0,0,0,0,4,128,128,0
WrapAlignment,package:flutter/src/rendering/wrap.dart,7,224,224,0,0,0,0,0,7,224,224,0
WrapCrossAlignment,package:flutter/src/rendering/wrap.dart,4,128,128,0,0,0,0,0,4,128,128,0
SchedulerPhase,package:flutter/src/scheduler/binding.dart,6,192,192,0,0,0,0,0,6,192,192,0
SchedulerServiceExtensions,package:flutter/src/scheduler/service_extensions.dart,2,64,64,0,0,0,0,0,2,64,64,0
Ticker,package:flutter/src/scheduler/ticker.dart,13,832,832,0,0,0,0,0,13,832,832,0
TickerCanceled,package:flutter/src/scheduler/ticker.dart,1,16,16,0,0,0,0,0,1,16,16,0
AttributedString,package:flutter/src/semantics/semantics.dart,1142,36544,36544,0,0,0,0,0,1142,36544,36544,0
SemanticsProperties,package:flutter/src/semantics/semantics.dart,41,20336,20336,0,0,0,0,0,41,20336,20336,0
DebugSemanticsDumpOrder,package:flutter/src/semantics/semantics.dart,3,96,96,0,0,0,0,0,3,96,96,0
OrdinalSortKey,package:flutter/src/semantics/semantics.dart,2,64,64,0,0,0,0,0,2,64,64,0
Assertiveness,package:flutter/src/semantics/semantics_event.dart,3,96,96,0,0,0,0,0,3,96,96,0
TapSemanticEvent,package:flutter/src/semantics/semantics_event.dart,1,16,16,0,0,0,0,0,1,16,16,0
PlatformAssetBundle,package:flutter/src/services/asset_bundle.dart,1,32,32,0,0,0,0,0,1,32,32,0
_DefaultBinaryMessenger,package:flutter/src/services/binding.dart,1,16,16,0,0,0,0,0,1,16,16,0
HardwareKeyboard,package:flutter/src/services/hardware_keyboard.dart,1,48,48,0,0,0,0,0,1,48,48,0
KeyDataTransitMode,package:flutter/src/services/hardware_keyboard.dart,3,96,96,0,0,0,0,0,3,96,96,0
KeyEventManager,package:flutter/src/services/hardware_keyboard.dart,1,64,64,0,0,0,0,0,1,64,64,0
LogicalKeyboardKey,package:flutter/src/services/keyboard_key.g.dart,39,624,624,0,0,0,0,0,39,624,624,0
StringCodec,package:flutter/src/services/message_codecs.dart,1,16,16,0,0,0,0,0,1,16,16,0
JSONMessageCodec,package:flutter/src/services/message_codecs.dart,1,16,16,0,0,0,0,0,1,16,16,0
JSONMethodCodec,package:flutter/src/services/message_codecs.dart,1,16,16,0,0,0,0,0,1,16,16,0
StandardMethodCodec,package:flutter/src/services/message_codecs.dart,1,16,16,0,0,0,0,0,1,16,16,0
MouseCursorManager,package:flutter/src/services/mouse_cursor.dart,1,32,32,0,0,0,0,0,1,32,32,0
_DeferringMouseCursor,package:flutter/src/services/mouse_cursor.dart,1,16,16,0,0,0,0,0,1,16,16,0
SystemMouseCursor,package:flutter/src/services/mouse_cursor.dart,3,48,48,0,0,0,0,0,3,48,48,0
BasicMessageChannel,package:flutter/src/services/platform_channel.dart,3,144,144,0,0,0,0,0,3,144,144,0
OptionalMethodChannel,package:flutter/src/services/platform_channel.dart,6,192,192,0,0,0,0,0,6,192,192,0
_AndroidViewState,package:flutter/src/services/platform_views.dart,5,160,160,0,0,0,0,0,5,160,160,0
KeyboardSide,package:flutter/src/services/raw_keyboard.dart,5,160,160,0,0,0,0,0,5,160,160,0
ModifierKey,package:flutter/src/services/raw_keyboard.dart,10,320,320,0,0,0,0,0,10,320,320,0
RawKeyboard,package:flutter/src/services/raw_keyboard.dart,1,48,48,0,0,0,0,0,1,48,48,0
RestorationManager,package:flutter/src/services/restoration.dart,1,112,112,0,0,0,0,0,1,112,112,0
ServicesServiceExtensions,package:flutter/src/services/service_extensions.dart,2,64,64,0,0,0,0,0,2,64,64,0
DeviceOrientation,package:flutter/src/services/system_chrome.dart,5,160,160,0,0,0,0,0,5,160,160,0
SystemUiOverlay,package:flutter/src/services/system_chrome.dart,3,96,96,0,0,0,0,0,3,96,96,0
SystemUiMode,package:flutter/src/services/system_chrome.dart,6,192,192,0,0,0,0,0,6,192,192,0
SystemUiOverlayStyle,package:flutter/src/services/system_chrome.dart,7,560,560,0,0,0,0,0,7,560,560,0
SystemSoundType,package:flutter/src/services/system_sound.dart,3,96,96,0,0,0,0,0,3,96,96,0
MaxLengthEnforcement,package:flutter/src/services/text_formatter.dart,4,128,128,0,0,0,0,0,4,128,128,0
SmartDashesType,package:flutter/src/services/text_input.dart,3,96,96,0,0,0,0,0,3,96,96,0
SmartQuotesType,package:flutter/src/services/text_input.dart,3,96,96,0,0,0,0,0,3,96,96,0
TextInputAction,package:flutter/src/services/text_input.dart,14,448,448,0,0,0,0,0,14,448,448,0
TextCapitalization,package:flutter/src/services/text_input.dart,5,160,160,0,0,0,0,0,5,160,160,0
FloatingCursorDragState,package:flutter/src/services/text_input.dart,4,128,128,0,0,0,0,0,4,128,128,0
SelectionChangedCause,package:flutter/src/services/text_input.dart,9,288,288,0,0,0,0,0,9,288,288,0
TextInput,package:flutter/src/services/text_input.dart,1,80,80,0,0,0,0,0,1,80,80,0
_PlatformTextInputControl,package:flutter/src/services/text_input.dart,1,16,16,0,0,0,0,0,1,16,16,0
CallbackAction,package:flutter/src/widgets/actions.dart,12,576,576,0,0,0,0,0,12,576,576,0
Actions,package:flutter/src/widgets/actions.dart,11,528,528,0,0,0,0,0,11,528,528,0
_ActionsState,package:flutter/src/widgets/actions.dart,11,704,704,0,0,0,0,0,11,704,704,0
_ActionsMarker,package:flutter/src/widgets/actions.dart,11,704,704,0,0,0,0,0,11,704,704,0
VoidCallbackAction,package:flutter/src/widgets/actions.dart,1,32,32,0,0,0,0,0,1,32,32,0
DoNothingAction,package:flutter/src/widgets/actions.dart,2,96,96,0,0,0,0,0,2,96,96,0
ActivateIntent,package:flutter/src/widgets/actions.dart,1,16,16,0,0,0,0,0,1,16,16,0
ButtonActivateIntent,package:flutter/src/widgets/actions.dart,1,16,16,0,0,0,0,0,1,16,16,0
DismissIntent,package:flutter/src/widgets/actions.dart,1,16,16,0,0,0,0,0,1,16,16,0
PrioritizedIntents,package:flutter/src/widgets/actions.dart,1,16,16,0,0,0,0,0,1,16,16,0
PrioritizedAction,package:flutter/src/widgets/actions.dart,1,48,48,0,0,0,0,0,1,48,48,0
_OverridableAction,package:flutter/src/widgets/actions.dart,1,80,80,0,0,0,0,0,1,80,80,0
CrossFadeState,package:flutter/src/widgets/animated_cross_fade.dart,3,96,96,0,0,0,0,0,3,96,96,0
AnnotatedRegion,package:flutter/src/widgets/annotated_region.dart,2,128,128,0,0,0,0,0,2,128,128,0
WidgetsApp,package:flutter/src/widgets/app.dart,1,304,304,0,0,0,0,0,1,304,304,0
_WidgetsAppState,package:flutter/src/widgets/app.dart,1,80,80,0,0,0,0,0,1,80,80,0
ConnectionState,package:flutter/src/widgets/async.dart,5,160,160,0,0,0,0,0,5,160,160,0
AutofillContextAction,package:flutter/src/widgets/autofill.dart,3,96,96,0,0,0,0,0,3,96,96,0
_NullWidget,package:flutter/src/widgets/automatic_keep_alive.dart,1,32,32,0,0,0,0,0,1,32,32,0
BannerLocation,package:flutter/src/widgets/banner.dart,5,160,160,0,0,0,0,0,5,160,160,0
BannerPainter,package:flutter/src/widgets/banner.dart,1,96,96,0,0,0,0,0,1,96,96,0
Banner,package:flutter/src/widgets/banner.dart,1,80,80,0,0,0,0,0,1,80,80,0
CheckedModeBanner,package:flutter/src/widgets/banner.dart,1,32,32,0,0,0,0,0,1,32,32,0
_UbiquitousInheritedElement,package:flutter/src/widgets/basic.dart,1,160,160,0,0,0,0,0,1,160,160,0
InheritedElement,package:flutter/src/widgets/framework.dart,81,12960,12960,0,0,0,0,0,81,12960,12960,0
Directionality,package:flutter/src/widgets/basic.dart,1,48,48,0,0,0,0,0,1,48,48,0
CustomPaint,package:flutter/src/widgets/basic.dart,4,320,320,0,0,0,0,0,4,320,320,0
ClipRect,package:flutter/src/widgets/basic.dart,3,144,144,0,0,0,0,0,3,144,144,0
PhysicalModel,package:flutter/src/widgets/basic.dart,4,320,320,0,0,0,0,0,4,320,320,0
PhysicalShape,package:flutter/src/widgets/basic.dart,2,160,160,0,0,0,0,0,2,160,160,0
Transform,package:flutter/src/widgets/basic.dart,4,320,320,0,0,0,0,0,4,320,320,0
FittedBox,package:flutter/src/widgets/basic.dart,8,512,512,0,0,0,0,0,8,512,512,0
FractionalTranslation,package:flutter/src/widgets/basic.dart,4,192,192,0,0,0,0,0,4,192,192,0
Padding,package:flutter/src/widgets/basic.dart,22,1056,1056,0,0,0,0,0,22,1056,1056,0
Align,package:flutter/src/widgets/basic.dart,1146,73344,73344,0,0,0,0,0,1146,73344,73344,0
Center,package:flutter/src/widgets/basic.dart,7,448,448,0,0,0,0,0,7,448,448,0
CustomSingleChildLayout,package:flutter/src/widgets/basic.dart,2,96,96,0,0,0,0,0,2,96,96,0
LayoutId,package:flutter/src/widgets/basic.dart,15,720,720,0,0,0,0,0,15,720,720,0
CustomMultiChildLayout,package:flutter/src/widgets/basic.dart,4,192,192,0,0,0,0,0,4,192,192,0
SizedBox,package:flutter/src/widgets/basic.dart,1157,55536,55536,0,0,0,0,0,1157,55536,55536,0
ConstrainedBox,package:flutter/src/widgets/basic.dart,1149,55152,55152,0,0,0,0,0,1149,55152,55152,0
LimitedBox,package:flutter/src/widgets/basic.dart,1,48,48,0,0,0,0,0,1,48,48,0
Offstage,package:flutter/src/widgets/basic.dart,2,96,96,0,0,0,0,0,2,96,96,0
_OffstageElement,package:flutter/src/widgets/basic.dart,2,320,320,0,0,0,0,0,2,320,320,0
SingleChildRenderObjectElement,package:flutter/src/widgets/framework.dart,3576,572160,572160,0,0,0,0,0,3576,572160,572160,0
Stack,package:flutter/src/widgets/basic.dart,6,384,384,0,0,0,0,0,6,384,384,0
IndexedStack,package:flutter/src/widgets/basic.dart,2,160,160,0,0,0,0,0,2,160,160,0
Positioned,package:flutter/src/widgets/basic.dart,4,384,384,0,0,0,0,0,4,384,384,0
PositionedDirectional,package:flutter/src/widgets/basic.dart,2,160,160,0,0,0,0,0,2,160,160,0
Row,package:flutter/src/widgets/basic.dart,10,960,960,0,0,0,0,0,10,960,960,0
Column,package:flutter/src/widgets/basic.dart,2,192,192,0,0,0,0,0,2,192,192,0
Expanded,package:flutter/src/widgets/basic.dart,5,320,320,0,0,0,0,0,5,320,320,0
RichText,package:flutter/src/widgets/basic.dart,1145,164880,164880,0,0,0,0,0,1145,164880,164880,0
Listener,package:flutter/src/widgets/basic.dart,13,1456,1456,0,0,0,0,0,13,1456,1456,0
MouseRegion,package:flutter/src/widgets/basic.dart,6,480,480,0,0,0,0,0,6,480,480,0
RepaintBoundary,package:flutter/src/widgets/basic.dart,4,128,128,0,0,0,0,0,4,128,128,0
IgnorePointer,package:flutter/src/widgets/basic.dart,3,144,144,0,0,0,0,0,3,144,144,0
AbsorbPointer,package:flutter/src/widgets/basic.dart,1,48,48,0,0,0,0,0,1,48,48,0
Semantics,package:flutter/src/widgets/basic.dart,41,2624,2624,0,0,0,0,0,41,2624,2624,0
BlockSemantics,package:flutter/src/widgets/basic.dart,1,48,48,0,0,0,0,0,1,48,48,0
ExcludeSemantics,package:flutter/src/widgets/basic.dart,6,288,288,0,0,0,0,0,6,288,288,0
KeyedSubtree,package:flutter/src/widgets/basic.dart,3,96,96,0,0,0,0,0,3,96,96,0
Builder,package:flutter/src/widgets/basic.dart,15,480,480,0,0,0,0,0,15,480,480,0
ColoredBox,package:flutter/src/widgets/basic.dart,1,48,48,0,0,0,0,0,1,48,48,0
_RenderColoredBox,package:flutter/src/widgets/basic.dart,1,272,272,0,0,0,0,0,1,272,272,0
RenderObjectToWidgetAdapter,package:flutter/src/widgets/binding.dart,1,64,64,0,0,0,0,0,1,64,64,0
RenderObjectToWidgetElement,package:flutter/src/widgets/binding.dart,1,176,176,0,0,0,0,0,1,176,176,0
WidgetsFlutterBinding,package:flutter/src/widgets/binding.dart,1,480,480,0,0,0,0,0,1,480,480,0
DecoratedBox,package:flutter/src/widgets/container.dart,3,144,144,0,0,0,0,0,3,144,144,0
Container,package:flutter/src/widgets/container.dart,1141,127792,127792,0,0,0,0,0,1141,127792,127792,0
ContextMenuButtonType,package:flutter/src/widgets/context_menu_button_item.dart,6,192,192,0,0,0,0,0,6,192,192,0
DefaultSelectionStyle,package:flutter/src/widgets/default_selection_style.dart,3,144,144,0,0,0,0,0,3,144,144,0
_NullWidget,package:flutter/src/widgets/default_selection_style.dart,1,32,32,0,0,0,0,0,1,32,32,0
DefaultTextEditingShortcuts,package:flutter/src/widgets/default_text_editing_shortcuts.dart,1,32,32,0,0,0,0,0,1,32,32,0
DismissDirection,package:flutter/src/widgets/dismissible.dart,8,256,256,0,0,0,0,0,8,256,256,0
_FlingGestureKind,package:flutter/src/widgets/dismissible.dart,4,128,128,0,0,0,0,0,4,128,128,0
_DragEndKind,package:flutter/src/widgets/drag_target.dart,3,96,96,0,0,0,0,0,3,96,96,0
ExtendSelectionToNextWordBoundaryOrCaretLocationIntent,package:flutter/src/widgets/text_editing_intents.dart,2,32,32,0,0,0,0,0,2,32,32,0
SelectAllTextIntent,package:flutter/src/widgets/text_editing_intents.dart,1,16,16,0,0,0,0,0,1,16,16,0
CopySelectionTextIntent,package:flutter/src/widgets/text_editing_intents.dart,2,64,64,0,0,0,0,0,2,64,64,0
KeyEventResult,package:flutter/src/widgets/focus_manager.dart,4,128,128,0,0,0,0,0,4,128,128,0
FocusAttachment,package:flutter/src/widgets/focus_manager.dart,16,256,256,0,0,0,0,0,16,256,256,0
UnfocusDisposition,package:flutter/src/widgets/focus_manager.dart,3,96,96,0,0,0,0,0,3,96,96,0
FocusNode,package:flutter/src/widgets/focus_manager.dart,13,2496,2496,0,0,0,0,0,13,2496,2496,0
FocusScopeNode,package:flutter/src/widgets/focus_manager.dart,4,768,768,0,0,0,0,0,4,768,768,0
FocusHighlightMode,package:flutter/src/widgets/focus_manager.dart,3,96,96,0,0,0,0,0,3,96,96,0
FocusHighlightStrategy,package:flutter/src/widgets/focus_manager.dart,4,128,128,0,0,0,0,0,4,128,128,0
FocusManager,package:flutter/src/widgets/focus_manager.dart,1,144,144,0,0,0,0,0,1,144,144,0
Focus,package:flutter/src/widgets/focus_scope.dart,13,1664,1664,0,0,0,0,0,13,1664,1664,0
_FocusState,package:flutter/src/widgets/focus_scope.dart,13,1248,1248,0,0,0,0,0,13,1248,1248,0
FocusScope,package:flutter/src/widgets/focus_scope.dart,3,384,384,0,0,0,0,0,3,384,384,0
_FocusScopeState,package:flutter/src/widgets/focus_scope.dart,3,288,288,0,0,0,0,0,3,288,288,0
_FocusMarker,package:flutter/src/widgets/focus_scope.dart,16,768,768,0,0,0,0,0,16,768,768,0
TraversalDirection,package:flutter/src/widgets/focus_traversal.dart,5,160,160,0,0,0,0,0,5,160,160,0
ReadingOrderTraversalPolicy,package:flutter/src/widgets/focus_traversal.dart,1,16,16,0,0,0,0,0,1,16,16,0
FocusTraversalGroup,package:flutter/src/widgets/focus_traversal.dart,2,128,128,0,0,0,0,0,2,128,128,0
_FocusTraversalGroupState,package:flutter/src/widgets/focus_traversal.dart,2,96,96,0,0,0,0,0,2,96,96,0
_FocusTraversalGroupMarker,package:flutter/src/widgets/focus_traversal.dart,2,96,96,0,0,0,0,0,2,96,96,0
RequestFocusAction,package:flutter/src/widgets/focus_traversal.dart,1,32,32,0,0,0,0,0,1,32,32,0
NextFocusIntent,package:flutter/src/widgets/focus_traversal.dart,1,16,16,0,0,0,0,0,1,16,16,0
NextFocusAction,package:flutter/src/widgets/focus_traversal.dart,1,32,32,0,0,0,0,0,1,32,32,0
PreviousFocusIntent,package:flutter/src/widgets/focus_traversal.dart,1,16,16,0,0,0,0,0,1,16,16,0
PreviousFocusAction,package:flutter/src/widgets/focus_traversal.dart,1,32,32,0,0,0,0,0,1,32,32,0
DirectionalFocusIntent,package:flutter/src/widgets/focus_traversal.dart,4,128,128,0,0,0,0,0,4,128,128,0
LabeledGlobalKey,package:flutter/src/widgets/framework.dart,30,960,960,0,0,0,0,0,30,960,960,0
_StateLifecycle,package:flutter/src/widgets/framework.dart,5,160,160,0,0,0,0,0,5,160,160,0
_ElementLifecycle,package:flutter/src/widgets/framework.dart,5,160,160,0,0,0,0,0,5,160,160,0
_InactiveElements,package:flutter/src/widgets/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
BuildOwner,package:flutter/src/widgets/framework.dart,1,112,112,0,0,0,0,0,1,112,112,0
_NotificationNode,package:flutter/src/widgets/framework.dart,10,320,320,0,0,0,0,0,10,320,320,0
StatelessElement,package:flutter/src/widgets/framework.dart,3473,500112,500112,0,0,0,0,0,3473,500112,500112,0
StatefulElement,package:flutter/src/widgets/framework.dart,121,19360,19360,0,0,0,0,0,121,19360,19360,0
ParentDataElement,package:flutter/src/widgets/framework.dart,17,2720,2720,0,0,0,0,0,17,2720,2720,0
DebugCreator,package:flutter/src/widgets/framework.dart,4741,75856,75856,0,0,0,0,0,4741,75856,75856,0
IndexedSlot,package:flutter/src/widgets/framework.dart,1175,37600,37600,0,0,0,0,0,1175,37600,37600,0
_NullElement,package:flutter/src/widgets/framework.dart,1,128,128,0,0,0,0,0,1,128,128,0
_NullWidget,package:flutter/src/widgets/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
GestureRecognizerFactoryWithHandlers,package:flutter/src/widgets/gesture_detector.dart,8,256,256,0,0,0,0,0,8,256,256,0
GestureDetector,package:flutter/src/widgets/gesture_detector.dart,17,8976,8976,0,0,0,0,0,17,8976,8976,0
RawGestureDetector,package:flutter/src/widgets/gesture_detector.dart,9,576,576,0,0,0,0,0,9,576,576,0
RawGestureDetectorState,package:flutter/src/widgets/gesture_detector.dart,9,576,576,0,0,0,0,0,9,576,576,0
_GestureSemantics,package:flutter/src/widgets/gesture_detector.dart,2,96,96,0,0,0,0,0,2,96,96,0
_DefaultSemanticsGestureDelegate,package:flutter/src/widgets/gesture_detector.dart,8,128,128,0,0,0,0,0,8,128,128,0
HeroFlightDirection,package:flutter/src/widgets/heroes.dart,3,96,96,0,0,0,0,0,3,96,96,0
HeroController,package:flutter/src/widgets/heroes.dart,1,32,32,0,0,0,0,0,1,32,32,0
Icon,package:flutter/src/widgets/icon.dart,7,784,784,0,0,0,0,0,7,784,784,0
IconData,package:flutter/src/widgets/icon_data.dart,6,288,288,0,0,0,0,0,6,288,288,0
IconTheme,package:flutter/src/widgets/icon_theme.dart,10,480,480,0,0,0,0,0,10,480,480,0
DecorationTween,package:flutter/src/widgets/implicit_animations.dart,1,32,32,0,0,0,0,0,1,32,32,0
BorderRadiusTween,package:flutter/src/widgets/implicit_animations.dart,4,128,128,0,0,0,0,0,4,128,128,0
TextStyleTween,package:flutter/src/widgets/implicit_animations.dart,6,192,192,0,0,0,0,0,6,192,192,0
AnimatedDefaultTextStyle,package:flutter/src/widgets/implicit_animations.dart,6,672,672,0,0,0,0,0,6,672,672,0
_AnimatedDefaultTextStyleState,package:flutter/src/widgets/implicit_animations.dart,6,480,480,0,0,0,0,0,6,480,480,0
AnimatedPhysicalModel,package:flutter/src/widgets/implicit_animations.dart,4,512,512,0,0,0,0,0,4,512,512,0
_AnimatedPhysicalModelState,package:flutter/src/widgets/implicit_animations.dart,4,448,448,0,0,0,0,0,4,448,448,0
InheritedModelElement,package:flutter/src/widgets/inherited_model.dart,1,160,160,0,0,0,0,0,1,160,160,0
_InheritedNotifierElement,package:flutter/src/widgets/inherited_notifier.dart,16,2816,2816,0,0,0,0,0,16,2816,2816,0
CapturedThemes,package:flutter/src/widgets/inherited_theme.dart,1,16,16,0,0,0,0,0,1,16,16,0
_GestureType,package:flutter/src/widgets/interactive_viewer.dart,4,128,128,0,0,0,0,0,4,128,128,0
PanAxis,package:flutter/src/widgets/interactive_viewer.dart,5,160,160,0,0,0,0,0,5,160,160,0
_WidgetsLocalizationsDelegate,package:flutter/src/widgets/localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultWidgetsLocalizations,package:flutter/src/widgets/localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
_LocalizationsScope,package:flutter/src/widgets/localizations.dart,1,64,64,0,0,0,0,0,1,64,64,0
Localizations,package:flutter/src/widgets/localizations.dart,1,48,48,0,0,0,0,0,1,48,48,0
_LocalizationsState,package:flutter/src/widgets/localizations.dart,1,64,64,0,0,0,0,0,1,64,64,0
Orientation,package:flutter/src/widgets/media_query.dart,3,96,96,0,0,0,0,0,3,96,96,0
MediaQueryData,package:flutter/src/widgets/media_query.dart,18,2592,2592,0,0,0,0,0,18,2592,2592,0
MediaQuery,package:flutter/src/widgets/media_query.dart,18,864,864,0,0,0,0,0,18,864,864,0
NavigationMode,package:flutter/src/widgets/media_query.dart,3,96,96,0,0,0,0,0,3,96,96,0
_MediaQueryFromWindow,package:flutter/src/widgets/media_query.dart,1,32,32,0,0,0,0,0,1,32,32,0
_MediaQueryFromWindowState,package:flutter/src/widgets/media_query.dart,1,48,48,0,0,0,0,0,1,48,48,0
ModalBarrier,package:flutter/src/widgets/modal_barrier.dart,1,64,64,0,0,0,0,0,1,64,64,0
_AnyTapGestureRecognizer,package:flutter/src/widgets/modal_barrier.dart,1,176,176,0,0,0,0,0,1,176,176,0
_ModalBarrierSemanticsDelegate,package:flutter/src/widgets/modal_barrier.dart,1,16,16,0,0,0,0,0,1,16,16,0
_AnyTapGestureRecognizerFactory,package:flutter/src/widgets/modal_barrier.dart,1,32,32,0,0,0,0,0,1,32,32,0
_ModalBarrierGestureDetector,package:flutter/src/widgets/modal_barrier.dart,1,48,48,0,0,0,0,0,1,48,48,0
NavigationToolbar,package:flutter/src/widgets/navigation_toolbar.dart,2,128,128,0,0,0,0,0,2,128,128,0
_ToolbarSlot,package:flutter/src/widgets/navigation_toolbar.dart,4,128,128,0,0,0,0,0,4,128,128,0
_ToolbarLayout,package:flutter/src/widgets/navigation_toolbar.dart,2,128,128,0,0,0,0,0,2,128,128,0
RoutePopDisposition,package:flutter/src/widgets/navigator.dart,4,128,128,0,0,0,0,0,4,128,128,0
RouteSettings,package:flutter/src/widgets/navigator.dart,2,64,64,0,0,0,0,0,2,64,64,0
HeroControllerScope,package:flutter/src/widgets/navigator.dart,2,96,96,0,0,0,0,0,2,96,96,0
DefaultTransitionDelegate,package:flutter/src/widgets/navigator.dart,1,16,16,0,0,0,0,0,1,16,16,0
Navigator,package:flutter/src/widgets/navigator.dart,1,128,128,0,0,0,0,0,1,128,128,0
_RouteLifecycle,package:flutter/src/widgets/navigator.dart,16,512,512,0,0,0,0,0,16,512,512,0
