"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Brightness,dart:ui,3,96,96,0,0,0,0,0,3,96,96,0
FrameData,dart:ui,2,32,32,0,0,0,0,0,2,32,32,0
GestureSettings,dart:ui,2,64,64,0,0,0,0,0,2,64,64,0
HttpClientResponseCompressionState,dart:_http,4,128,128,0,0,0,0,0,4,128,128,0
JsonErrorStatus,package:win32/src/winrt/data/json/enums.g.dart,6,192,192,0,0,0,0,0,6,192,192,0
JsonValueType,package:win32/src/winrt/data/json/enums.g.dart,7,224,224,0,0,0,0,0,7,224,224,0
DeviceClass,package:win32/src/winrt/devices/enumeration/enums.g.dart,8,256,256,0,0,0,0,0,8,256,256,0
PedometerStepKind,package:win32/src/winrt/devices/sensors/enums.g.dart,4,128,128,0,0,0,0,0,4,128,128,0
AsyncStatus,package:win32/src/winrt/foundation/enums.g.dart,5,160,160,0,0,0,0,0,5,160,160,0
PropertyType,package:win32/src/winrt/foundation/enums.g.dart,42,1344,1344,0,0,0,0,0,42,1344,1344,0
GameControllerButtonLabel,package:win32/src/winrt/gaming/input/enums.g.dart,70,2240,2240,0,0,0,0,0,70,2240,2240,0
DayOfWeek,package:win32/src/winrt/globalization/enums.g.dart,8,256,256,0,0,0,0,0,8,256,256,0
PhoneNumberFormat,package:win32/src/winrt/globalization/phonenumberformatting/enums.g.dart,5,160,160,0,0,0,0,0,5,160,160,0
PhoneNumberMatchResult,package:win32/src/winrt/globalization/phonenumberformatting/enums.g.dart,5,160,160,0,0,0,0,0,5,160,160,0
PhoneNumberParseResult,package:win32/src/winrt/globalization/phonenumberformatting/enums.g.dart,6,192,192,0,0,0,0,0,6,192,192,0
PredictedPhoneNumberKind,package:win32/src/winrt/globalization/phonenumberformatting/enums.g.dart,13,416,416,0,0,0,0,0,13,416,416,0
HostNameType,package:win32/src/winrt/networking/enums.g.dart,5,160,160,0,0,0,0,0,5,160,160,0
NameCollisionOption,package:win32/src/winrt/storage/enums.g.dart,4,128,128,0,0,0,0,0,4,128,128,0
StorageDeleteOption,package:win32/src/winrt/storage/enums.g.dart,3,96,96,0,0,0,0,0,3,96,96,0
PickerLocationId,package:win32/src/winrt/storage/pickers/enums.g.dart,11,352,352,0,0,0,0,0,11,352,352,0
PickerViewMode,package:win32/src/winrt/storage/pickers/enums.g.dart,3,96,96,0,0,0,0,0,3,96,96,0
BatteryStatus,package:win32/src/winrt/system/power/enums.g.dart,5,160,160,0,0,0,0,0,5,160,160,0
NotificationMirroring,package:win32/src/winrt/ui/notifications/enums.g.dart,3,96,96,0,0,0,0,0,3,96,96,0
ToastNotificationPriority,package:win32/src/winrt/ui/notifications/enums.g.dart,3,96,96,0,0,0,0,0,3,96,96,0
ToastTemplateType,package:win32/src/winrt/ui/notifications/enums.g.dart,9,288,288,0,0,0,0,0,9,288,288,0
Placement,package:win32/src/winrt/ui/popups/enums.g.dart,6,192,192,0,0,0,0,0,6,192,192,0
HandPreference,package:win32/src/winrt/ui/viewmanagement/enums.g.dart,3,96,96,0,0,0,0,0,3,96,96,0
UIColorType,package:win32/src/winrt/ui/viewmanagement/enums.g.dart,11,352,352,0,0,0,0,0,11,352,352,0
UIElementType,package:win32/src/winrt/ui/viewmanagement/enums.g.dart,27,864,864,0,0,0,0,0,27,864,864,0
TrustLevel,package:win32/src/winrt_helpers.dart,4,128,128,0,0,0,0,0,4,128,128,0
Aabb3,vector_math_64,10,320,320,0,0,0,0,0,10,320,320,0
Matrix4,vector_math_64,21,336,336,0,0,0,0,0,21,336,336,0
Vector3,vector_math_64,146743,2347888,2347888,0,0,0,0,0,146743,2347888,2347888,0
KDiTreDi,package:pointcloud_data_viewer/ditredi_/kanavi_ditredi.dart,2,160,160,0,0,0,0,0,2,160,160,0
KDiTreDiDraggable,package:pointcloud_data_viewer/ditredi_/kanavi_ditredi.dart,1,64,64,0,0,0,0,0,1,64,64,0
_KDiTreDiDraggableState,package:pointcloud_data_viewer/ditredi_/kanavi_ditredi.dart,1,64,64,0,0,0,0,0,1,64,64,0
KModelPainter,package:pointcloud_data_viewer/ditredi_/karnavi_canvas_model_painter.dart,8,1152,1152,0,0,0,0,0,8,1152,1152,0
Grid3D,package:pointcloud_data_viewer/ditredi_/model/gird_3d.dart,8,512,512,0,0,0,0,0,8,512,512,0
GuideAxis3D,package:pointcloud_data_viewer/ditredi_/model/guid_axis_3d.dart,8,384,384,0,0,0,0,0,8,384,384,0
PointCloud3D,package:pointcloud_data_viewer/ditredi_/model/point_cloud_3d.dart,9,576,576,0,0,0,0,0,9,576,576,0
FileSystem,package:pointcloud_data_viewer/files/filesystem.dart,2,64,64,0,0,0,0,0,2,64,64,0
PCDField,package:pointcloud_data_viewer/files/pcd_reader.dart,5,160,160,0,0,0,0,0,5,160,160,0
PCDReader,package:pointcloud_data_viewer/files/pcd_reader.dart,2,96,96,0,0,0,0,0,2,96,96,0
MyApp,package:pointcloud_data_viewer/main.dart,1,32,32,0,0,0,0,0,1,32,32,0
HomeScreen,package:pointcloud_data_viewer/screen/home_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
_HomeScreenState,package:pointcloud_data_viewer/screen/home_screen.dart,1,128,128,0,0,0,0,0,1,128,128,0
ReadMode,package:pointcloud_data_viewer/screen/viewer_screen.dart,3,96,96,0,0,0,0,0,3,96,96,0
ViewScreen,package:pointcloud_data_viewer/screen/viewer_screen.dart,1,64,64,0,0,0,0,0,1,64,64,0
_ViewScreenState,package:pointcloud_data_viewer/screen/viewer_screen.dart,1,144,144,0,0,0,0,0,1,144,144,0
StorageDirectory,package:path_provider_platform_interface/src/enums.dart,11,352,352,0,0,0,0,0,11,352,352,0
DirectoryType,package:path_provider_foundation/messages.g.dart,6,192,192,0,0,0,0,0,6,192,192,0
PathProviderApi,package:path_provider_foundation/messages.g.dart,1,16,16,0,0,0,0,0,1,16,16,0
PathProviderFoundation,package:path_provider_foundation/path_provider_foundation.dart,1,16,16,0,0,0,0,0,1,16,16,0
StorageDirectory,package:path_provider_android/messages.g.dart,12,384,384,0,0,0,0,0,12,384,384,0
StandardMessageCodec,package:flutter/src/services/message_codecs.dart,1,16,16,0,0,0,0,0,1,16,16,0
_Protected,meta,1,16,16,0,0,0,0,0,1,16,16,0
_VisibleForTesting,meta,1,16,16,0,0,0,0,0,1,16,16,0
TargetKind,meta_meta,15,480,480,0,0,0,0,0,15,480,480,0
Direction,package:material_color_utilities/quantize/quantizer_wu.dart,4,128,128,0,0,0,0,0,4,128,128,0
AnimationStatus,package:flutter/src/animation/animation.dart,5,160,160,0,0,0,0,0,5,160,160,0
_AnimationDirection,package:flutter/src/animation/animation_controller.dart,3,96,96,0,0,0,0,0,3,96,96,0
AnimationBehavior,package:flutter/src/animation/animation_controller.dart,3,96,96,0,0,0,0,0,3,96,96,0
AnimationController,package:flutter/src/animation/animation_controller.dart,22,3168,3168,0,0,0,0,0,22,3168,3168,0
_AlwaysCompleteAnimation,package:flutter/src/animation/animations.dart,1,16,16,0,0,0,0,0,1,16,16,0
_AlwaysDismissedAnimation,package:flutter/src/animation/animations.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProxyAnimation,package:flutter/src/animation/animations.dart,10,640,640,0,0,0,0,0,10,640,640,0
ReverseAnimation,package:flutter/src/animation/animations.dart,4,192,192,0,0,0,0,0,4,192,192,0
CurvedAnimation,package:flutter/src/animation/animations.dart,313,20032,20032,0,0,0,0,0,313,20032,20032,0
_TrainHoppingMode,package:flutter/src/animation/animations.dart,3,96,96,0,0,0,0,0,3,96,96,0
TrainHoppingAnimation,package:flutter/src/animation/animations.dart,4,320,320,0,0,0,0,0,4,320,320,0
AnimationMin,package:flutter/src/animation/animations.dart,4,320,320,0,0,0,0,0,4,320,320,0
_Linear,package:flutter/src/animation/curves.dart,1,16,16,0,0,0,0,0,1,16,16,0
Interval,package:flutter/src/animation/curves.dart,40,1920,1920,0,0,0,0,0,40,1920,1920,0
Threshold,package:flutter/src/animation/curves.dart,2,64,64,0,0,0,0,0,2,64,64,0
Cubic,package:flutter/src/animation/curves.dart,6,288,288,0,0,0,0,0,6,288,288,0
FlippedCurve,package:flutter/src/animation/curves.dart,2,64,64,0,0,0,0,0,2,64,64,0
_AnimatedEvaluation,package:flutter/src/animation/tween.dart,20,640,640,0,0,0,0,0,20,640,640,0
_ChainedEvaluation,package:flutter/src/animation/tween.dart,1,32,32,0,0,0,0,0,1,32,32,0
Tween,package:flutter/src/animation/tween.dart,12,384,384,0,0,0,0,0,12,384,384,0
ColorTween,package:flutter/src/animation/tween.dart,10,320,320,0,0,0,0,0,10,320,320,0
CurveTween,package:flutter/src/animation/tween.dart,10,320,320,0,0,0,0,0,10,320,320,0
ScrollBehavior,package:flutter/src/widgets/scroll_configuration.dart,1,16,16,0,0,0,0,0,1,16,16,0
CupertinoDynamicColor,package:flutter/src/cupertino/colors.dart,5,560,560,0,0,0,0,0,5,560,560,0
_ContextMenuLocation,package:flutter/src/cupertino/context_menu.dart,4,128,128,0,0,0,0,0,4,128,128,0
CupertinoDatePickerMode,package:flutter/src/cupertino/date_picker.dart,4,128,128,0,0,0,0,0,4,128,128,0
_PickerColumnType,package:flutter/src/cupertino/date_picker.dart,8,256,256,0,0,0,0,0,8,256,256,0
CupertinoTimerPickerMode,package:flutter/src/cupertino/date_picker.dart,4,128,128,0,0,0,0,0,4,128,128,0
_AlertDialogSections,package:flutter/src/cupertino/dialog.dart,3,96,96,0,0,0,0,0,3,96,96,0
MultiChildLayoutParentData,package:flutter/src/rendering/custom_layout.dart,11,528,528,0,0,0,0,0,11,528,528,0
IconThemeData,package:flutter/src/widgets/icon_theme_data.dart,22,1760,1760,0,0,0,0,0,22,1760,1760,0
CupertinoIconThemeData,package:flutter/src/cupertino/icon_theme_data.dart,1,80,80,0,0,0,0,0,1,80,80,0
CupertinoUserInterfaceLevelData,package:flutter/src/cupertino/interface_level.dart,3,96,96,0,0,0,0,0,3,96,96,0
CupertinoListSectionType,package:flutter/src/cupertino/list_section.dart,3,96,96,0,0,0,0,0,3,96,96,0
_CupertinoListTileType,package:flutter/src/cupertino/list_tile.dart,3,96,96,0,0,0,0,0,3,96,96,0
DatePickerDateTimeOrder,package:flutter/src/cupertino/localizations.dart,5,160,160,0,0,0,0,0,5,160,160,0
DatePickerDateOrder,package:flutter/src/cupertino/localizations.dart,5,160,160,0,0,0,0,0,5,160,160,0
_CupertinoLocalizationsDelegate,package:flutter/src/cupertino/localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultCupertinoLocalizations,package:flutter/src/cupertino/localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
RefreshIndicatorMode,package:flutter/src/cupertino/refresh.dart,6,192,192,0,0,0,0,0,6,192,192,0
CupertinoPageTransition,package:flutter/src/cupertino/route.dart,2,128,128,0,0,0,0,0,2,128,128,0
_CupertinoBackGestureDetector,package:flutter/src/cupertino/route.dart,2,128,128,0,0,0,0,0,2,128,128,0
_CupertinoBackGestureDetectorState,package:flutter/src/cupertino/route.dart,2,128,128,0,0,0,0,0,2,128,128,0
_CupertinoEdgeShadowDecoration,package:flutter/src/cupertino/route.dart,2,32,32,0,0,0,0,0,2,32,32,0
_CupertinoEdgeShadowPainter,package:flutter/src/cupertino/route.dart,2,64,64,0,0,0,0,0,2,64,64,0
RenderConstrainedBox,package:flutter/src/rendering/proxy_box.dart,2295,624240,624240,0,0,0,0,0,2295,624240,624240,0
OverlayVisibilityMode,package:flutter/src/cupertino/text_field.dart,5,160,160,0,0,0,0,0,5,160,160,0
_CupertinoTextSelectionToolbarItemsSlot,package:flutter/src/cupertino/text_selection_toolbar.dart,4,128,128,0,0,0,0,0,4,128,128,0
CupertinoTheme,package:flutter/src/cupertino/theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
_InheritedCupertinoTheme,package:flutter/src/cupertino/theme.dart,1,48,48,0,0,0,0,0,1,48,48,0
NoDefaultCupertinoThemeData,package:flutter/src/cupertino/theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
CupertinoThemeData,package:flutter/src/cupertino/theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
_CupertinoThemeDefaults,package:flutter/src/cupertino/theme.dart,1,64,64,0,0,0,0,0,1,64,64,0
_CupertinoTextThemeDefaults,package:flutter/src/cupertino/theme.dart,1,32,32,0,0,0,0,0,1,32,32,0
PartialStackFrame,package:flutter/src/foundation/assertions.dart,9,288,288,0,0,0,0,0,9,288,288,0
RepetitiveStackFrameFilter,package:flutter/src/foundation/assertions.dart,6,192,192,0,0,0,0,0,6,192,192,0
_MergingListenable,package:flutter/src/foundation/change_notifier.dart,2,32,32,0,0,0,0,0,2,32,32,0
ValueNotifier,package:flutter/src/foundation/change_notifier.dart,17,1360,1360,0,0,0,0,0,17,1360,1360,0
DiagnosticLevel,package:flutter/src/foundation/diagnostics.dart,10,320,320,0,0,0,0,0,10,320,320,0
DiagnosticsTreeStyle,package:flutter/src/foundation/diagnostics.dart,13,416,416,0,0,0,0,0,13,416,416,0
TextTreeConfiguration,package:flutter/src/foundation/diagnostics.dart,1,224,224,0,0,0,0,0,1,224,224,0
_WordWrapParseMode,package:flutter/src/foundation/diagnostics.dart,4,128,128,0,0,0,0,0,4,128,128,0
_NoDefaultValue,package:flutter/src/foundation/diagnostics.dart,1,16,16,0,0,0,0,0,1,16,16,0
ValueKey,package:flutter/src/foundation/key.dart,15,480,480,0,0,0,0,0,15,480,480,0
_LicenseEntryWithLineBreaksParserState,package:flutter/src/foundation/licenses.dart,3,96,96,0,0,0,0,0,3,96,96,0
MemoryAllocations,package:flutter/src/foundation/memory_allocations.dart,1,32,32,0,0,0,0,0,1,32,32,0
ObserverList,package:flutter/src/foundation/observer_list.dart,124,5952,5952,0,0,0,0,0,124,5952,5952,0
HashedObserverList,package:flutter/src/foundation/observer_list.dart,1,32,32,0,0,0,0,0,1,32,32,0
PersistentHashMap,package:flutter/src/foundation/persistent_hash_map.dart,100,3200,3200,0,0,0,0,0,100,3200,3200,0
_CompressedNode,package:flutter/src/foundation/persistent_hash_map.dart,171,5472,5472,0,0,0,0,0,171,5472,5472,0
TargetPlatform,package:flutter/src/foundation/platform.dart,7,224,224,0,0,0,0,0,7,224,224,0
_WordWrapParseMode,package:flutter/src/foundation/print.dart,4,128,128,0,0,0,0,0,4,128,128,0
FoundationServiceExtensions,package:flutter/src/foundation/service_extensions.dart,7,224,224,0,0,0,0,0,7,224,224,0
GestureDisposition,package:flutter/src/gestures/arena.dart,3,96,96,0,0,0,0,0,3,96,96,0
GestureArenaEntry,package:flutter/src/gestures/arena.dart,8,256,256,0,0,0,0,0,8,256,256,0
GestureArenaManager,package:flutter/src/gestures/arena.dart,1,16,16,0,0,0,0,0,1,16,16,0
_Resampler,package:flutter/src/gestures/binding.dart,1,96,96,0,0,0,0,0,1,96,96,0
_ForceState,package:flutter/src/gestures/force_press.dart,6,192,192,0,0,0,0,0,6,192,192,0
DeviceGestureSettings,package:flutter/src/gestures/gesture_settings.dart,2,32,32,0,0,0,0,0,2,32,32,0
_DragState,package:flutter/src/gestures/monodrag.dart,4,128,128,0,0,0,0,0,4,128,128,0
